Mã,Tên công ty,Sàn,Ngành ICB - cấp 1,Năm,Liquidity_Score,Leverage_Score,Efficiency_Score,Size_Score,Profitability_Score
AAA,An Phát Bioplastics,HOSE,Nguyên vật liệu,2020,-0.20498079783302384,0.09016477151453406,,1.0805965556029333,-0.18715647566091484
AAA,An Phát Bioplastics,HOSE,Nguyên vật liệu,2021,-0.0017777302034159466,-0.15535576654832675,-0.023873420140825177,1.146309634189417,-0.6196650109608841
AAA,An Phát Bioplastics,HOSE,Nguyên vật liệu,2022,-0.15476543482768543,-0.13251531108890593,-0.19536110857829883,1.2007136253377944,-0.19865225699695865
AAA,An Phát Bioplastics,HOSE,Nguyên vật liệu,2023,-0.010764058608606112,-0.06138842521294905,0.14757873181760467,1.2174260139418904,-0.007336389474366499
AAA,An Phát Bioplastics,HOSE,Nguyên vật liệu,2024,-0.10455352770362776,-0.015382822508179475,-0.16380350445717926,1.1770557538900563,-0.20197443891144154
AAM,Thủy sản Mekong,HOSE,Hàng Tiêu dùng,2020,3.394867602483444,-0.5232989923960436,,-1.946072837172614,-1.5119273280448475
AAM,Thủy sản Mekong,HOSE,Hàng Tiêu dùng,2021,7.244563537806335,-0.7274631647421577,0.10088107087843598,-1.9720470557791017,-0.8638854657610634
AAM,Thủy sản Mekong,HOSE,Hàng Tiêu dùng,2022,4.193433042278095,-0.6005310661888503,0.10177023384194714,-1.8602432250373224,0.11454992363933163
AAM,Thủy sản Mekong,HOSE,Hàng Tiêu dùng,2023,3.3383263666347642,-0.057330716592965625,-0.31599271967629855,-1.9975747987204895,-0.3398101222943761
AAM,Thủy sản Mekong,HOSE,Hàng Tiêu dùng,2024,5.956792059374571,-0.2077287124781314,0.1527624964843956,-1.937040605394891,-0.6202965189059106
AAT,Tập đoàn Tiên Sơn Thanh Hóa,HOSE,Hàng Tiêu dùng,2020,-0.03046440522512031,-2.5838247206004477,,-1.2623606207625877,-0.45995412137270164
AAT,Tập đoàn Tiên Sơn Thanh Hóa,HOSE,Hàng Tiêu dùng,2021,0.3710452068035037,-0.37967636587167336,-0.7690753412662374,-0.9316392976862102,-0.42640093223216474
AAT,Tập đoàn Tiên Sơn Thanh Hóa,HOSE,Hàng Tiêu dùng,2022,-0.11134822654326043,-0.2614795723601384,-0.9429161738427358,-0.7342910515062956,0.21219962671595835
AAT,Tập đoàn Tiên Sơn Thanh Hóa,HOSE,Hàng Tiêu dùng,2023,-0.23004732392257254,-0.03449058232281042,-1.1163210434032786,-0.8999720494263104,-0.3954518827718303
AAT,Tập đoàn Tiên Sơn Thanh Hóa,HOSE,Hàng Tiêu dùng,2024,-0.06028494620688852,0.09710530863759728,-0.6972468622383645,-0.8075735032595257,-0.37328236664051867
ABR,Đầu tư Nhãn Hiệu Việt,HOSE,Công nghiệp,2020,1.5948824857311816,-0.47465603891959446,,-1.3094416127126047,0.17606469424767104
ABR,Đầu tư Nhãn Hiệu Việt,HOSE,Công nghiệp,2021,0.3441450494364047,-0.4221990067729158,-0.2965247414056521,-1.3588558735598415,-0.11281269432653451
ABR,Đầu tư Nhãn Hiệu Việt,HOSE,Công nghiệp,2022,-0.14806447248838508,-0.336808794728457,-0.31332911633469174,-1.3655021673170564,0.10222284178985985
ABR,Đầu tư Nhãn Hiệu Việt,HOSE,Công nghiệp,2023,-0.11189636563241527,-0.39128343704377516,,-1.5059438733627126,1.1314376598183988
ABR,Đầu tư Nhãn Hiệu Việt,HOSE,Công nghiệp,2024,-0.2556442304118107,-0.47295891407143326,,-1.6397718948455227,-0.1112811157460271
ABS,DV Nông nghiệp Bình Thuận,HOSE,Dịch vụ Tiêu dùng,2020,-0.5495383410829547,0.1351801411243173,,-0.1096840235978689,0.2065987027179663
ABS,DV Nông nghiệp Bình Thuận,HOSE,Dịch vụ Tiêu dùng,2021,-0.4275188497771592,-0.10452671753122987,0.13992415342009737,-0.02615037452029363,0.18364542307050588
ABS,DV Nông nghiệp Bình Thuận,HOSE,Dịch vụ Tiêu dùng,2022,-0.4946775710363615,-0.16464601913360624,-0.15334155882064837,-0.02540917361669989,-0.4596422506990388
ABS,DV Nông nghiệp Bình Thuận,HOSE,Nguyên vật liệu,2023,-0.35260989095468775,-0.1353267820856239,-2.0454161088312772,-0.30197277257419847,-0.22338916366889247
