Mã,Tên công ty,Sàn,Ngành ICB - cấp 1,Năm,Liquidity_Score,Leverage_Score,Efficiency_Score,Size_Score,Profitability_Score,Liquidity_State,Leverage_State,Efficiency_State,Size_State,Profitability_State
AAA,An Phát Bioplastics,HOSE,Nguyên vật liệu,2020,-0.2049807978330238,0.090164771514534,,1.080596555602933,-0.1871564756609148,Trung bình,Trung bình,Không xác định,Cao,Trung bình
AAA,An Phát Bioplastics,HOSE,Nguyên vật liệu,2021,-0.0017777302034159,-0.1553557665483267,-0.0238734201408251,1.146309634189417,-0.6196650109608841,Trung bình,Trung bình,Trung bình,Cao,Thấp
AAA,An Phát Bioplastics,HOSE,Nguyên vật liệu,2022,-0.1547654348276854,-0.1325153110889059,-0.1953611085782988,1.2007136253377944,-0.1986522569969586,Trung bình,Trung bình,Trung bình,Cao,Trung bình
AAA,An Phát Bioplastics,HOSE,Nguyên vật liệu,2023,-0.0107640586086061,-0.061388425212949,0.1475787318176046,1.2174260139418904,-0.0073363894743664,Trung bình,Trung bình,Trung bình,Cao,Trung bình
AAA,An Phát Bioplastics,HOSE,Nguyên vật liệu,2024,-0.1045535277036277,-0.0153828225081794,-0.1638035044571792,1.1770557538900563,-0.2019744389114415,Trung bình,Trung bình,Trung bình,Cao,Trung bình
AAM,Thủy sản Mekong,HOSE,Hàng Tiêu dùng,2020,3.394867602483444,-0.5232989923960436,,-1.946072837172614,-1.5119273280448475,Cao,Thấp,Không xác định,Thấp,Thấp
AAM,Thủy sản Mekong,HOSE,Hàng Tiêu dùng,2021,7.244563537806335,-0.7274631647421577,0.1008810708784359,-1.9720470557791017,-0.8638854657610634,Cao,Thấp,Trung bình,Thấp,Thấp
AAM,Thủy sản Mekong,HOSE,Hàng Tiêu dùng,2022,4.193433042278095,-0.6005310661888503,0.1017702338419471,-1.8602432250373224,0.1145499236393316,Cao,Thấp,Trung bình,Thấp,Trung bình
AAM,Thủy sản Mekong,HOSE,Hàng Tiêu dùng,2023,3.338326366634764,-0.0573307165929656,-0.3159927196762985,-1.9975747987204893,-0.3398101222943761,Cao,Trung bình,Trung bình,Thấp,Trung bình
AAM,Thủy sản Mekong,HOSE,Hàng Tiêu dùng,2024,5.956792059374571,-0.2077287124781314,0.1527624964843956,-1.937040605394891,-0.6202965189059106,Cao,Trung bình,Trung bình,Thấp,Thấp
AAT,Tập đoàn Tiên Sơn Thanh Hóa,HOSE,Hàng Tiêu dùng,2020,-0.0304644052251203,-2.583824720600448,,-1.2623606207625877,-0.4599541213727016,Trung bình,Thấp,Không xác định,Thấp,Trung bình
AAT,Tập đoàn Tiên Sơn Thanh Hóa,HOSE,Hàng Tiêu dùng,2021,0.3710452068035037,-0.3796763658716733,-0.7690753412662374,-0.9316392976862102,-0.4264009322321647,Trung bình,Trung bình,Thấp,Thấp,Trung bình
AAT,Tập đoàn Tiên Sơn Thanh Hóa,HOSE,Hàng Tiêu dùng,2022,-0.1113482265432604,-0.2614795723601384,-0.9429161738427358,-0.7342910515062956,0.2121996267159583,Trung bình,Trung bình,Thấp,Thấp,Trung bình
AAT,Tập đoàn Tiên Sơn Thanh Hóa,HOSE,Hàng Tiêu dùng,2023,-0.2300473239225725,-0.0344905823228104,-1.1163210434032786,-0.8999720494263104,-0.3954518827718303,Trung bình,Trung bình,Thấp,Thấp,Trung bình
AAT,Tập đoàn Tiên Sơn Thanh Hóa,HOSE,Hàng Tiêu dùng,2024,-0.0602849462068885,0.0971053086375972,-0.6972468622383645,-0.8075735032595257,-0.3732823666405186,Trung bình,Trung bình,Thấp,Thấp,Trung bình
ABR,Đầu tư Nhãn Hiệu Việt,HOSE,Công nghiệp,2020,1.5948824857311816,-0.4746560389195944,,-1.3094416127126047,0.176064694247671,Cao,Trung bình,Không xác định,Thấp,Trung bình
ABR,Đầu tư Nhãn Hiệu Việt,HOSE,Công nghiệp,2021,0.3441450494364047,-0.4221990067729158,-0.2965247414056521,-1.3588558735598415,-0.1128126943265345,Trung bình,Trung bình,Trung bình,Thấp,Trung bình
ABR,Đầu tư Nhãn Hiệu Việt,HOSE,Công nghiệp,2022,-0.148064472488385,-0.336808794728457,-0.3133291163346917,-1.3655021673170564,0.1022228417898598,Trung bình,Trung bình,Trung bình,Thấp,Trung bình
ABR,Đầu tư Nhãn Hiệu Việt,HOSE,Công nghiệp,2023,-0.1118963656324152,-0.3912834370437751,,-1.5059438733627126,1.1314376598183988,Trung bình,Trung bình,Không xác định,Thấp,Cao
ABR,Đầu tư Nhãn Hiệu Việt,HOSE,Công nghiệp,2024,-0.2556442304118107,-0.4729589140714332,,-1.6397718948455229,-0.1112811157460271,Trung bình,Trung bình,Không xác định,Thấp,Trung bình
ABS,DV Nông nghiệp Bình Thuận,HOSE,Dịch vụ Tiêu dùng,2020,-0.5495383410829547,0.1351801411243173,,-0.1096840235978689,0.2065987027179663,Thấp,Trung bình,Không xác định,Trung bình,Trung bình
ABS,DV Nông nghiệp Bình Thuận,HOSE,Dịch vụ Tiêu dùng,2021,-0.4275188497771592,-0.1045267175312298,0.1399241534200973,-0.0261503745202936,0.1836454230705058,Trung bình,Trung bình,Trung bình,Trung bình,Trung bình
ABS,DV Nông nghiệp Bình Thuận,HOSE,Dịch vụ Tiêu dùng,2022,-0.4946775710363615,-0.1646460191336062,-0.1533415588206483,-0.0254091736166998,-0.4596422506990388,Trung bình,Trung bình,Trung bình,Trung bình,Trung bình
ABS,DV Nông nghiệp Bình Thuận,HOSE,Nguyên vật liệu,2023,-0.3526098909546877,-0.1353267820856239,-2.045416108831277,-0.3019727725741984,-0.2233891636688924,Trung bình,Trung bình,Thấp,Trung bình,Trung bình
ABS,DV Nông nghiệp Bình Thuận,HOSE,Nguyên vật liệu,2024,0.5791993596386567,-0.4854068437272354,-1.9994983723187163,-0.7289443735613013,-0.4395170771478018,Cao,Trung bình,Thấp,Thấp,Trung bình
ABT,Thủy sản Bến Tre,HOSE,Hàng Tiêu dùng,2020,-0.0239175508622067,-0.3640967199419614,,-1.2486993793272094,-0.4554037653744834,Trung bình,Trung bình,Không xác định,Thấp,Trung bình
ABT,Thủy sản Bến Tre,HOSE,Hàng Tiêu dùng,2021,-0.2019659587753979,-0.4570066525583833,-0.3240983664593284,-1.2336416383119917,-0.0565698073334623,Trung bình,Trung bình,Trung bình,Thấp,Trung bình
ABT,Thủy sản Bến Tre,HOSE,Hàng Tiêu dùng,2022,0.3972468429832554,-0.4738295122726574,0.4992063313416701,-1.089654949985147,0.3196705150847421,Trung bình,Trung bình,Trung bình,Thấp,Trung bình
ABT,Thủy sản Bến Tre,HOSE,Hàng Tiêu dùng,2023,-0.2311939751181917,-0.0340203568158483,-0.1263970357289303,-1.1069001360118362,0.4902795640949071,Trung bình,Trung bình,Trung bình,Thấp,Trung bình
ABT,Thủy sản Bến Tre,HOSE,Hàng Tiêu dùng,2024,-0.1434203882011591,-0.1734863649467088,-0.2254839068185962,-1.010969493904855,0.5252536160734774,Trung bình,Trung bình,Trung bình,Thấp,Cao
ACB,ACB,HOSE,Ngân hàng,2020,,-0.3946926065488162,,0.11154900211713,,Không xác định,Trung bình,Không xác định,Trung bình,Không xác định
ACB,ACB,HOSE,Ngân hàng,2021,,-0.3441801325061035,,0.1120239344717345,,Không xác định,Trung bình,Không xác định,Trung bình,Không xác định
ACB,ACB,HOSE,Ngân hàng,2022,,-0.4384568274038909,,0.1126576918930778,,Không xác định,Trung bình,Không xác định,Trung bình,Không xác định
ACB,ACB,HOSE,Ngân hàng,2023,,-0.837787958996583,,0.153766686925179,,Không xác định,Thấp,Không xác định,Trung bình,Không xác định
ACB,ACB,HOSE,Ngân hàng,2024,,-0.6093368693451191,,0.1670902719433097,,Không xác định,Thấp,Không xác định,Trung bình,Không xác định
ACC,Đầu tư và XD Bình Dương ACC,HOSE,Công nghiệp,2020,-0.0895476981734784,-0.2488775488168695,,-0.364206204007388,0.1515394865667785,Trung bình,Trung bình,Không xác định,Trung bình,Trung bình
ACC,Đầu tư và XD Bình Dương ACC,HOSE,Công nghiệp,2021,-0.2486092058660165,0.1710415152720995,-0.2969937657070502,-0.4390339368550769,-0.2584168855241299,Trung bình,Trung bình,Trung bình,Trung bình,Trung bình
ACC,Đầu tư và XD Bình Dương ACC,HOSE,Công nghiệp,2022,-0.3196771410253228,-0.1125165105794872,-0.2851488348220207,-0.1224623359199627,-0.1257656984635096,Trung bình,Trung bình,Trung bình,Trung bình,Trung bình
ACC,Đầu tư và XD Bình Dương ACC,HOSE,Công nghiệp,2023,-0.3997087442170712,-0.0862543972596075,-0.2739746900878365,-0.044257117681716,-0.1786073451820632,Trung bình,Trung bình,Trung bình,Trung bình,Trung bình
ACC,Đầu tư và XD Bình Dương ACC,HOSE,Công nghiệp,2024,-0.595538564654691,4.558626759040099,-0.2605737294656549,0.0414501684733496,-0.2931965505997101,Thấp,Cao,Trung bình,Trung bình,Trung bình
ACG,Gỗ An Cường,HOSE,Nguyên vật liệu,2020,0.0210343730242815,-0.3566295587914654,,0.622482597869272,0.5471527637215459,Trung bình,Trung bình,Không xác định,Cao,Cao
ACG,Gỗ An Cường,HOSE,Nguyên vật liệu,2021,-0.1243776449519886,-0.4122361217890767,-0.259774602056931,0.5077688638047023,0.1844480496969004,Trung bình,Trung bình,Trung bình,Cao,Trung bình
ACG,Gỗ An Cường,HOSE,Nguyên vật liệu,2022,-0.166896537386209,-0.3255746444082839,-0.2417729816018932,0.5698286236746609,0.5698470557507178,Trung bình,Trung bình,Trung bình,Cao,Cao
ACG,Gỗ An Cường,HOSE,Nguyên vật liệu,2023,-0.1589454443244462,-0.2269426610680412,-0.2309608057474327,0.5620984844960262,0.5829062877678092,Trung bình,Trung bình,Trung bình,Cao,Cao
ACG,Gỗ An Cường,HOSE,Nguyên vật liệu,2024,-0.2111038591853284,-0.3594626192467396,-0.1954240255380815,0.5327824225037362,0.2496204356323685,Trung bình,Trung bình,Trung bình,Cao,Trung bình
ACL,Thủy sản CL An Giang,HOSE,Hàng Tiêu dùng,2020,-0.6501192883250771,0.6639117965321597,,-0.4409654927112686,-0.5229365720792493,Thấp,Cao,Không xác định,Trung bình,Thấp
ACL,Thủy sản CL An Giang,HOSE,Hàng Tiêu dùng,2021,-0.3464778434430859,-0.0772180213405189,-0.1130336551933099,-0.4423337625529555,-0.4339594161387556,Trung bình,Trung bình,Trung bình,Trung bình,Trung bình
ACL,Thủy sản CL An Giang,HOSE,Hàng Tiêu dùng,2022,-0.4243642101569359,-0.132219815997446,-0.1796296544847299,-0.5372065587654387,0.2273828976600175,Trung bình,Trung bình,Trung bình,Thấp,Trung bình
ACL,Thủy sản CL An Giang,HOSE,Hàng Tiêu dùng,2023,-0.4477122593503959,-0.0934529591586579,-0.3974899257759028,-0.4777494915815133,-0.3158769005337676,Trung bình,Trung bình,Trung bình,Trung bình,Trung bình
ACL,Thủy sản CL An Giang,HOSE,Hàng Tiêu dùng,2024,-0.3237213667783661,0.5963159270649624,-0.0064932281735384,-0.3558071498476051,-0.3177278582257619,Trung bình,Cao,Trung bình,Trung bình,Trung bình
ADG,Clever Group,HOSE,Dịch vụ Tiêu dùng,2020,-0.439011599028394,-0.1635619679151578,,-0.6180070155869379,0.4145959017983509,Trung bình,Trung bình,Không xác định,Thấp,Trung bình
ADG,Clever Group,HOSE,Dịch vụ Tiêu dùng,2021,-0.3953863107165005,-0.2312872967871123,0.0837864270270836,-0.5613863315027555,0.3208684405278001,Trung bình,Trung bình,Trung bình,Thấp,Trung bình
ADG,Clever Group,HOSE,Dịch vụ Tiêu dùng,2022,-0.1373368889181726,-0.1877093392784606,-0.1596832778627019,-0.6848316136932839,0.1414215944400308,Trung bình,Trung bình,Trung bình,Thấp,Trung bình
ADG,Clever Group,HOSE,Dịch vụ Tiêu dùng,2023,-0.1959047381525825,-0.0621620538477813,0.0188156631632542,-0.7404161732836761,-0.193945955702853,Trung bình,Trung bình,Trung bình,Thấp,Trung bình
ADG,Clever Group,HOSE,Dịch vụ Tiêu dùng,2024,-0.2915506756887905,-0.1198800773668173,-0.1384480493646441,-0.7220433041078871,-0.2493148093727774,Trung bình,Trung bình,Trung bình,Thấp,Trung bình
ADP,Sơn Á Đông,HOSE,Công nghiệp,2020,0.3328288995641106,-0.4563953308238921,,-0.6997818587514928,1.178689060075791,Trung bình,Trung bình,Không xác định,Thấp,Cao
ADP,Sơn Á Đông,HOSE,Công nghiệp,2021,0.0775870265291592,-0.4354630745438038,0.2346493347207077,-0.8623521267195084,0.7463378292992138,Trung bình,Trung bình,Trung bình,Thấp,Cao
ADP,Sơn Á Đông,HOSE,Công nghiệp,2022,-0.1275713890965318,-0.3344480240764985,0.2702436030464119,-0.803038390255976,0.2751166304328657,Trung bình,Trung bình,Trung bình,Thấp,Trung bình
ADP,Sơn Á Đông,HOSE,Công nghiệp,2023,-0.1208011046916645,-0.3443789599046125,0.3909103472636918,-0.7918907176736629,0.8766414435791585,Trung bình,Trung bình,Trung bình,Thấp,Cao
ADP,Sơn Á Đông,HOSE,Công nghiệp,2024,-0.1285974587784295,-0.4368933508094956,0.906388538425452,-0.6881845373249434,1.249447522406827,Trung bình,Trung bình,Cao,Thấp,Cao
ADS,Dệt sợi DAMSAN,HOSE,Hàng Tiêu dùng,2020,-0.570510033452018,1.6258329587520506,,-0.279206790002895,-0.5195633618081892,Thấp,Cao,Không xác định,Trung bình,Thấp
ADS,Dệt sợi DAMSAN,HOSE,Hàng Tiêu dùng,2021,-0.2980877169714454,0.6285100353948964,-0.3272465863609475,-0.2479653353830059,0.1382579668889717,Trung bình,Cao,Trung bình,Trung bình,Trung bình
ADS,Dệt sợi DAMSAN,HOSE,Hàng Tiêu dùng,2022,-0.4086231667131616,0.6549575006969245,-0.0035537172915529,-0.2596825732297639,-0.0373609539828164,Trung bình,Cao,Trung bình,Trung bình,Trung bình
ADS,Dệt sợi DAMSAN,HOSE,Hàng Tiêu dùng,2023,-0.3658486695918108,0.0746689412292121,-0.3982047261543399,-0.2088227193758346,-0.0757199458967559,Trung bình,Trung bình,Trung bình,Trung bình,Trung bình
ADS,Dệt sợi DAMSAN,HOSE,Hàng Tiêu dùng,2024,-0.2787059362928992,0.3215931452621765,-0.2203596665771428,-0.216504413690941,-0.152991478172906,Trung bình,Trung bình,Trung bình,Trung bình,Trung bình
AGG,Bất động sản An Gia,HOSE,Tài chính,2020,-0.3179669772353182,0.5717229017333639,,0.4276312772613448,0.3497563093029005,Trung bình,Cao,Không xác định,Trung bình,Trung bình
