Mã,Tên công ty,Sàn,Ngành ICB - cấp 1,Năm,Liquidity_Score,Leverage_Score,Efficiency_Score,Size_Score,Profitability_Score,Composite_Score
AAA,An Phát Bioplastics,HOSE,Nguyên vật liệu,2021,-0.0017777302034159,-0.1553557665483267,-0.0238734201408251,1.146309634189417,-0.6196650109608841,0.06912754126719305
AAA,An Phát Bioplastics,HOSE,Nguyên vật liệu,2022,-0.1547654348276854,-0.1325153110889059,-0.1953611085782988,1.2007136253377944,-0.1986522569969586,0.10388390276918913
AAA,An Phát Bioplastics,HOSE,Nguyên vật liệu,2023,-0.0107640586086061,-0.061388425212949,0.1475787318176046,1.2174260139418904,-0.0073363894743664,0.2571031744927147
AAA,An Phát Bioplastics,HOSE,Nguyên vật liệu,2024,-0.1045535277036277,-0.0153828225081794,-0.1638035044571792,1.1770557538900563,-0.2019744389114415,0.1382682920619257
AAM,Thủy sản Mekong,HOSE,Hàng Tiêu dùng,2021,7.244563537806335,-0.7274631647421577,0.1008810708784359,-1.9720470557791017,-0.8638854657610634,0.7564097844804895
AAM,Thủy sản Mekong,HOSE,Hàng Tiêu dùng,2022,4.193433042278095,-0.6005310661888503,0.1017702338419471,-1.8602432250373224,0.1145499236393316,0.38979578170664037
AAM,Thủy sản Mekong,HOSE,Hàng Tiêu dùng,2023,3.338326366634764,-0.0573307165929656,-0.3159927196762985,-1.9975747987204893,-0.3398101222943761,0.12552360187012682
AAM,Thủy sản Mekong,HOSE,Hàng Tiêu dùng,2024,5.956792059374571,-0.2077287124781314,0.1527624964843956,-1.937040605394891,-0.6202965189059106,0.6688977438160068
AAT,Tập đoàn Tiên Sơn Thanh Hóa,HOSE,Hàng Tiêu dùng,2021,0.3710452068035037,-0.3796763658716733,-0.7690753412662374,-0.9316392976862102,-0.4264009322321647,-0.4271493460505564
AAT,Tập đoàn Tiên Sơn Thanh Hóa,HOSE,Hàng Tiêu dùng,2022,-0.1113482265432604,-0.2614795723601384,-0.9429161738427358,-0.7342910515062956,0.2121996267159583,-0.3675670795072944
AAT,Tập đoàn Tiên Sơn Thanh Hóa,HOSE,Hàng Tiêu dùng,2023,-0.2300473239225725,-0.0344905823228104,-1.1163210434032786,-0.8999720494263104,-0.3954518827718303,-0.5352565763693604
AAT,Tập đoàn Tiên Sơn Thanh Hóa,HOSE,Hàng Tiêu dùng,2024,-0.0602849462068885,0.0971053086375972,-0.6972468622383645,-0.8075735032595257,-0.3732823666405186,-0.36825647394154004
ABR,Đầu tư Nhãn Hiệu Việt,HOSE,Công nghiệp,2021,0.3441450494364047,-0.4221990067729158,-0.2965247414056521,-1.3588558735598415,-0.1128126943265345,-0.3692494533257078
ABR,Đầu tư Nhãn Hiệu Việt,HOSE,Công nghiệp,2022,-0.148064472488385,-0.336808794728457,-0.3133291163346917,-1.3655021673170564,0.1022228417898598,-0.41229634181574604
ABS,DV Nông nghiệp Bình Thuận,HOSE,Dịch vụ Tiêu dùng,2021,-0.4275188497771592,-0.1045267175312298,0.1399241534200973,-0.0261503745202936,0.1836454230705058,-0.0469252730676159
ABS,DV Nông nghiệp Bình Thuận,HOSE,Dịch vụ Tiêu dùng,2022,-0.4946775710363615,-0.1646460191336062,-0.1533415588206483,-0.0254091736166998,-0.4596422506990388,-0.2595433146612709
ABS,DV Nông nghiệp Bình Thuận,HOSE,Nguyên vật liệu,2023,-0.3526098909546877,-0.1353267820856239,-2.045416108831277,-0.3019727725741984,-0.2233891636688924,-0.6117429436229359
ABS,DV Nông nghiệp Bình Thuận,HOSE,Nguyên vật liệu,2024,0.5791993596386567,-0.4854068437272354,-1.9994983723187163,-0.7289443735613013,-0.4395170771478018,-0.6148334614232797
ABT,Thủy sản Bến Tre,HOSE,Hàng Tiêu dùng,2021,-0.2019659587753979,-0.4570066525583833,-0.3240983664593284,-1.2336416383119917,-0.0565698073334623,-0.45465648468771275
ABT,Thủy sản Bến Tre,HOSE,Hàng Tiêu dùng,2022,0.3972468429832554,-0.4738295122726574,0.4992063313416701,-1.089654949985147,0.3196705150847421,-0.06947215456962734
ABT,Thủy sản Bến Tre,HOSE,Hàng Tiêu dùng,2023,-0.2311939751181917,-0.0340203568158483,-0.1263970357289303,-1.1069001360118362,0.4902795640949071,-0.20164638791597986
ABT,Thủy sản Bến Tre,HOSE,Hàng Tiêu dùng,2024,-0.1434203882011591,-0.1734863649467088,-0.2254839068185962,-1.010969493904855,0.5252536160734774,-0.2056213075595683
ACC,Đầu tư và XD Bình Dương ACC,HOSE,Công nghiệp,2021,-0.2486092058660165,0.1710415152720995,-0.2969937657070502,-0.4390339368550769,-0.2584168855241299,-0.2144024557360348
ACC,Đầu tư và XD Bình Dương ACC,HOSE,Công nghiệp,2022,-0.3196771410253228,-0.1125165105794872,-0.2851488348220207,-0.1224623359199627,-0.1257656984635096,-0.1931141041620606
ACC,Đầu tư và XD Bình Dương ACC,HOSE,Công nghiệp,2023,-0.3997087442170712,-0.0862543972596075,-0.2739746900878365,-0.044257117681716,-0.1786073451820632,-0.19656045888565887
ACC,Đầu tư và XD Bình Dương ACC,HOSE,Công nghiệp,2024,-0.595538564654691,4.558626759040099,-0.2605737294656549,0.0414501684733496,-0.2931965505997101,0.6901536165586785
ACG,Gỗ An Cường,HOSE,Nguyên vật liệu,2021,-0.1243776449519886,-0.4122361217890767,-0.259774602056931,0.5077688638047023,0.1844480496969004,-0.020834291059278705
ACG,Gỗ An Cường,HOSE,Nguyên vật liệu,2022,-0.166896537386209,-0.3255746444082839,-0.2417729816018932,0.5698286236746609,0.5698470557507178,0.08108630320579853
ACG,Gỗ An Cường,HOSE,Nguyên vật liệu,2023,-0.1589454443244462,-0.2269426610680412,-0.2309608057474327,0.5620984844960262,0.5829062877678092,0.10563117222478305
ACG,Gỗ An Cường,HOSE,Nguyên vật liệu,2024,-0.2111038591853284,-0.3594626192467396,-0.1954240255380815,0.5327824225037362,0.2496204356323685,0.003282470833191048
ACL,Thủy sản CL An Giang,HOSE,Hàng Tiêu dùng,2021,-0.3464778434430859,-0.0772180213405189,-0.1130336551933099,-0.4423337625529555,-0.4339594161387556,-0.2826045397337252
