Mã,Tên công ty,Sàn,Ngành ICB - cấp 1,Năm,Liquidity_Score,Leverage_Score,Efficiency_Score,Size_Score,Profitability_Score,Composite_Score,cluster_raw,cluster
ABR,Đầu tư Nhãn Hiệu Việt,HOSE,Công nghiệp,2021,0.3441450494364047,-0.4221990067729158,-0.2965247414056521,-1.3588558735598415,-0.1128126943265345,-0.3692494533257078,0,0
ACC,Đầu tư và XD Bình Dương ACC,HOSE,Công nghiệp,2021,-0.2486092058660165,0.1710415152720995,-0.2969937657070502,-0.4390339368550769,-0.2584168855241299,-0.2144024557360348,0,0
ADP,Sơn Á Đông,HOSE,Công nghiệp,2021,0.0775870265291592,-0.4354630745438038,0.2346493347207077,-0.8623521267195084,0.7463378292992138,-0.0478482021428463,2,1
APH,Tập đoàn An Phát Holdings,HOSE,Công nghiệp,2021,-0.1140257876597088,-0.0371192634755274,0.1622330771170103,1.6182457839653617,-0.4845173596303916,0.2289632900633488,1,2
ASG,Tập đoàn ASG,HOSE,Công nghiệp,2021,-0.1763975799188462,-0.2615891602909588,-0.2944861622680209,0.0102824686751553,-0.5542653070159378,-0.2552911481637216,0,0
BCE,XD và GT Bình Dương,HOSE,Công nghiệp,2021,-0.2281266263185171,-0.0338982690466539,-0.4425603546641227,-0.9412911997719372,-0.3747428136674838,-0.4041238526937429,0,0
BMP,Nhựa Bình Minh,HOSE,Công nghiệp,2021,0.0003447365068549,-0.4146852686308341,0.580509124313154,0.6965766563062712,0.0227449432291949,0.1770980383449281,1,2
C32,CIC39,HOSE,Công nghiệp,2021,-0.1822825760095474,-0.2232900776491307,-0.234785281172776,-0.3903900618325812,0.1649369943377189,-0.1731622004652632,0,0
C47,Xây dựng 47,HOSE,Công nghiệp,2021,-0.312202014116159,1.081572750244449,-0.1779041985361904,-0.0419369010484232,-0.129481130017511,0.084009701305233,0,0
CAV,Dây cáp điện Việt Nam,HOSE,Công nghiệp,2021,-0.3697774743035316,0.6814611560543193,0.5479166460364224,1.2782478659394434,0.2206165920714942,0.4716929571596295,1,2
CDC,Chương Dương Corp,HOSE,Công nghiệp,2021,-0.3254038396404412,0.9066100788784064,-0.2155804741624116,-0.160003560796182,-0.247045650113067,-0.008284689166739,0,0
CIG,Xây dựng COMA 18,HOSE,Công nghiệp,2021,-0.3900823792682615,0.8836872690357377,-0.4831655610970869,-1.401389353724064,-0.2386564217434658,-0.3259212893594281,0,0
CII,Hạ tầng Kỹ thuật TP.HCM,HOSE,Công nghiệp,2021,-0.3277473611398031,0.6393839694588171,-0.4459668215981253,1.4437668277741214,-0.8894571176858154,0.0839958993618389,1,2
CLL,Cảng Cát Lái,HOSE,Công nghiệp,2021,3.359058998895847,-0.5010186163187501,-0.112261273667725,-0.73562407315241,0.4434203792718663,0.4907150830057656,2,1
CRC,Create Capital Việt Nam,HOSE,Công nghiệp,2021,-0.235072463751273,-0.1400278784878793,-0.1522953587579442,-0.651234829695355,-0.3083695088750314,-0.2974000079134965,0,0
CTD,Xây dựng Coteccons,HOSE,Công nghiệp,2021,-0.1789586581872704,-0.1801173748326064,-0.2065222409374993,1.5098291733844666,-0.7178510027430964,0.0452759793367988,1,2
CTI,Cường Thuận IDICO,HOSE,Công nghiệp,2021,-0.230383039349981,0.6827145173838425,-0.2002784643319889,0.3250733694138812,-0.7922698402356568,-0.0430286914239806,1,2
CTR,Công trình Viettel,HOSE,Công nghiệp,2021,-0.2384736067334231,0.3746627761061806,0.3586900298975007,0.9768130443265108,0.8276468602839895,0.4598678207761517,1,2
CVT,CMC JSC,HOSE,Công nghiệp,2021,-0.2590428900366445,0.4253221606227428,-0.2413012882871146,0.2758743657183787,-0.0808355170954924,0.024003366184374,1,2
DC4,Xây dựng DIC Holdings,HOSE,Công nghiệp,2021,-0.0530224652010482,-0.2383041218874371,-0.1959310763829012,-0.3321447769630168,-0.2392875137086116,-0.211737990828603,0,0
DHA,Hóa An,HOSE,Công nghiệp,2021,1.087856962855149,-0.4621243067799151,0.0123894442092914,-0.7503457774889375,0.9149411921909806,0.1605435029973137,2,1
DPG,Tập đoàn Đạt Phương,HOSE,Công nghiệp,2021,-0.1927176352075599,0.5186424283884591,-0.1881191396760071,0.7904843792687929,0.6016611944266507,0.3059902454400671,1,2
DVP,ĐT và PT Cảng Đình Vũ,HOSE,Công nghiệp,2021,0.5818147601407012,-0.4792744201912867,-0.1022161547018462,-0.1765552123969272,1.0379467834024043,0.1723431512506091,2,1
DXV,Vật liệu Xây dựng Đà Nẵng,HOSE,Công nghiệp,2021,0.2958564668272611,-0.4333172560698022,0.1654706963935246,-1.4509086529415125,-0.7083406314371476,-0.4262478754455353,0,0
EVG,Tập đoàn Everland,HOSE,Công nghiệp,2021,-0.0042337613288449,-0.3703922850774727,1.9044844623069053,0.083254373212202,-0.6168073031643709,0.1992610971896838,0,0
