Ngành ICB - cấp 1,Nhóm chỉ số,Số quan sát,Số PC đạt 80% thông tin,Tỷ lệ phương sai PC1
Công nghiệp,Efficiency,37,2,0.623
Công nghiệp,Leverage,37,2,0.537
Công nghiệp,Liquidity,37,1,0.908
Công nghiệp,Profitability,37,1,0.825
Công nghệ Thông tin,Efficiency,37,2,0.623
Công nghệ Thông tin,Leverage,37,2,0.537
Công nghệ Thông tin,Liquidity,37,1,0.908
Công nghệ Thông tin,Profitability,37,1,0.825
Dược phẩm và Y tế,Efficiency,37,2,0.623
Dược phẩm và Y tế,Leverage,37,2,0.537
Dược phẩm và Y tế,Liquidity,37,1,0.908
Dược phẩm và Y tế,Profitability,37,1,0.825
Dầu khí,Efficiency,37,2,0.623
Dầu khí,Leverage,37,2,0.537
Dầu khí,Liquidity,37,1,0.908
Dầu khí,Profitability,37,1,0.825
Dịch vụ Tiêu dùng,Efficiency,37,2,0.623
Dịch vụ Tiêu dùng,Leverage,37,2,0.537
Dịch vụ Tiêu dùng,Liquidity,37,1,0.908
Dịch vụ Tiêu dùng,Profitability,37,1,0.825
Hàng Tiêu dùng,Efficiency,37,2,0.623
Hàng Tiêu dùng,Leverage,37,2,0.537
Hàng Tiêu dùng,Liquidity,37,1,0.908
Hàng Tiêu dùng,Profitability,37,1,0.825
Nguyên vật liệu,Efficiency,37,2,0.623
Nguyên vật liệu,Leverage,37,2,0.537
Nguyên vật liệu,Liquidity,37,1,0.908
Nguyên vật liệu,Profitability,37,1,0.825
Tiện ích Cộng đồng,Efficiency,37,2,0.623
Tiện ích Cộng đồng,Leverage,37,2,0.537
Tiện ích Cộng đồng,Liquidity,37,1,0.908
Tiện ích Cộng đồng,Profitability,37,1,0.825
