Ngành ICB - cấp 1,Nhóm chỉ số,Chỉ số đại diện (theo PCA)
Công nghiệp,Liquidity,Quick_Ratio
Công nghiệp,Leverage,Net_Leverage
Công nghiệp,Efficiency,Asset_Turnover
Công nghiệp,Profitability,ROS
Công nghệ Thông tin,Liquidity,Quick_Ratio
Công nghệ Thông tin,Leverage,Net_Leverage
Công nghệ Thông tin,Efficiency,Asset_Turnover
Công nghệ Thông tin,Profitability,ROS
Dược phẩm và Y tế,Liquidity,Quick_Ratio
Dược phẩm và Y tế,Leverage,Net_Leverage
Dược phẩm và Y tế,Efficiency,Asset_Turnover
Dược phẩm và Y tế,Profitability,ROS
Dầu khí,Liquidity,Quick_Ratio
Dầu khí,Leverage,Net_Leverage
Dầu khí,Efficiency,Asset_Turnover
Dầu khí,Profitability,ROS
Dịch vụ Tiêu dùng,Liquidity,Quick_Ratio
Dịch vụ Tiêu dùng,Leverage,Net_Leverage
Dịch vụ Tiêu dùng,Efficiency,Asset_Turnover
Dịch vụ Tiêu dùng,Profitability,ROS
Hàng Tiêu dùng,Liquidity,Quick_Ratio
Hàng Tiêu dùng,Leverage,Net_Leverage
Hàng Tiêu dùng,Efficiency,Asset_Turnover
Hàng Tiêu dùng,Profitability,ROS
Nguyên vật liệu,Liquidity,Quick_Ratio
Nguyên vật liệu,Leverage,Net_Leverage
Nguyên vật liệu,Efficiency,Asset_Turnover
Nguyên vật liệu,Profitability,ROS
Tiện ích Cộng đồng,Liquidity,Quick_Ratio
Tiện ích Cộng đồng,Leverage,Net_Leverage
Tiện ích Cộng đồng,Efficiency,Asset_Turnover
Tiện ích Cộng đồng,Profitability,ROS
